exercise_slug,equipment_slug,is_required,is_alternative,difficulty_modifier
incline_pushup,bodyweight,true,false,0
incline_pushup,bench,false,false,-1
decline_pushup,bodyweight,true,false,0
decline_pushup,bench,false,false,0
diamond_pushup,bodyweight,true,false,0
wide_pushup,bodyweight,true,false,0
pike_pushup,bodyweight,true,false,0
wall_pushup,bodyweight,true,false,0
wall_pushup,wall,false,false,0
db_bench_press,dumbbells,true,false,0
db_bench_press,bench,false,false,0
db_shoulder_press,dumbbells,true,false,0
db_lateral_raise,dumbbells,true,false,0
db_lateral_raise,resistance_bands,false,true,0
db_front_raise,dumbbells,true,false,0
db_front_raise,resistance_bands,false,true,0
bb_bench_press,barbell,true,false,0
bb_bench_press,bench,false,false,0
bb_ohp,barbell,true,false,0
arnold_press,dumbbells,true,false,0
chest_dips,pull_dip_station,true,false,0
tricep_dips_chair,bodyweight,true,false,0
tricep_dips_chair,office_chair,false,false,0
tricep_dips_chair,bench,false,false,0
band_chest_press,resistance_bands,true,false,0
band_shoulder_press,resistance_bands,true,false,0
chinup,pullup_bar,true,false,0
negative_pullup,pullup_bar,true,false,0
db_single_arm_row,dumbbells,true,false,0
db_single_arm_row,bench,false,false,0
bb_bent_row,barbell,true,false,0
db_seated_row,dumbbells,true,false,0
face_pull,cable_machine,true,false,0
face_pull,resistance_bands,false,true,0
band_pull_apart,resistance_bands,true,false,0
db_bicep_curl,dumbbells,true,false,0
hammer_curl,dumbbells,true,false,0
band_row,resistance_bands,true,false,0
trx_row,trx,true,false,0
lat_pulldown,lat_pulldown,true,false,0
db_tricep_ext,dumbbells,true,false,0
goblet_squat,dumbbells,true,false,0
goblet_squat,kettlebell,false,true,0
bb_back_squat,barbell,true,false,0
bb_front_squat,barbell,true,false,0
bulgarian_split_squat,bodyweight,true,false,0
bulgarian_split_squat,dumbbells,false,false,1
bulgarian_split_squat,bench,false,false,0
forward_lunge,bodyweight,true,false,0
forward_lunge,dumbbells,false,false,1
reverse_lunge,bodyweight,true,false,0
reverse_lunge,dumbbells,false,false,1
lateral_lunge,bodyweight,true,false,0
lateral_lunge,dumbbells,false,false,1
step_up,steps,true,false,0
step_up,bodyweight,false,false,0
step_up,dumbbells,false,false,1
rdl,dumbbells,true,false,0
rdl,barbell,false,true,1
deadlift,barbell,true,false,0
sumo_deadlift,barbell,true,false,0
bb_hip_thrust,barbell,true,false,0
bb_hip_thrust,bench,false,false,0
calf_raise_standing,bodyweight,true,false,0
calf_raise_seated,bench,false,false,0
calf_raise_seated,bodyweight,true,false,0
single_leg_rdl,dumbbells,true,false,0
single_leg_rdl,bodyweight,false,true,-1
box_jump,steps,false,false,0
box_jump,bodyweight,true,false,0
jump_squat,bodyweight,true,false,0
side_plank,bodyweight,true,false,0
side_plank,yoga_mat,false,false,0
dead_bug,bodyweight,true,false,0
dead_bug,yoga_mat,false,false,0
hollow_body,bodyweight,true,false,0
mountain_climbers,bodyweight,true,false,0
bicycle_crunch,bodyweight,true,false,0
bicycle_crunch,yoga_mat,false,false,0
hanging_leg_raise,pullup_bar,true,false,0
reverse_crunch,bodyweight,true,false,0
reverse_crunch,yoga_mat,false,false,0
russian_twist,bodyweight,true,false,0
russian_twist,medicine_ball,false,false,1
ab_wheel_rollout,yoga_mat,false,false,0
pallof_press,cable_machine,true,false,0
pallof_press,resistance_bands,false,true,0
woodchopper,cable_machine,true,false,0
woodchopper,resistance_bands,false,true,0
high_knees,bodyweight,true,false,0
